United Airlines Aircraft Operating Statistics- Cost Per Block Hour (Unadjusted),,,,,,,,,,,,,,,,,,,,,,
United Airlines,,,,,,,,,,,,,,,,,,,,,,
,,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Small Narrowbodies,"$2,087 ","$2,244 ","$2,334 ","$2,311 ","$2,340 ","$2,646 ","$2,938 ","$2,786 ","$2,399 ","$2,428 ","$2,791 ","$3,187 ","$3,375 ","$4,409 ","$3,087 ","$3,759 ","$4,402 ","$4,665 ","$4,717 ","$4,832 ","$3,784 "
,(Ex Fuel),"$1,585 ","$1,646 ","$1,757 ","$1,822 ","$1,881 ","$1,977 ","$2,210 ","$2,206 ","$1,701 ","$1,520 ","$1,484 ","$1,635 ","$1,770 ","$1,774 ","$1,803 ","$1,982 ","$2,150 ","$2,173 ","$2,397 ","$2,624 ","$2,349 "
,,,,,,,,,,,,,,,,,,,,,,
,Pilots,$523 ,$549 ,$576 ,$595 ,$597 ,$670 ,$850 ,$905 ,$634 ,$528 ,$463 ,$462 ,$468 ,$516 ,$581 ,$566 ,$532 ,$615 ,$785 ,$914 ,$925 
,Salaries and Wages,$388 ,$410 ,$444 ,$439 ,$437 ,$484 ,$553 ,$568 ,$371 ,$327 ,$292 ,$293 ,$296 ,$325 ,$354 ,$358 ,$367 ,$414 ,$528 ,$615 ,$649 
,Pilot Training,$25 ,$20 ,$21 ,$19 ,$21 ,$20 ,$25 ,$23 ,$11 ,$9 ,$11 ,$9 ,$10 ,$9 ,$13 ,$7 ,$7 ,$4 ,$13 ,$15 ,$22 
,Benefits and Payroll Taxes,$70 ,$76 ,$67 ,$91 ,$89 ,$115 ,$211 ,$259 ,$213 ,$158 ,$124 ,$121 ,$118 ,$135 ,$167 ,$156 ,$115 ,$173 ,$189 ,$198 ,$206 
,Per Diem/ Personnel,$40 ,$43 ,$45 ,$46 ,$50 ,$51 ,$61 ,$54 ,$39 ,$35 ,$36 ,$40 ,$44 ,$47 ,$46 ,$45 ,$43 ,$25 ,$55 ,$86 ,$48 
,,,,,,,,,,,,,,,,,,,,,,
,Purchased Goods,$563 ,$693 ,$665 ,$572 ,$544 ,$769 ,$796 ,$652 ,$770 ,$981 ,"$1,384 ","$1,633 ","$1,681 ","$2,726 ","$1,357 ","$1,858 ","$2,335 ","$2,583 ","$2,410 ","$2,297 ","$1,538 "
,Fuel/Oil,$502 ,$598 ,$578 ,$489 ,$459 ,$669 ,$728 ,$579 ,$698 ,$908 ,"$1,307 ","$1,552 ","$1,605 ","$2,636 ","$1,284 ","$1,777 ","$2,252 ","$2,492 ","$2,320 ","$2,207 ","$1,434 "
,Insurance,$7 ,$5 ,$4 ,$2 ,$2 ,$2 ,$6 ,$17 ,$9 ,$6 ,$5 ,$4 ,$4 ,$2 ,$3 ,$4 ,$3 ,$9 ,$2 ,$2 ,$2 
,Other (inc. Tax),$54 ,$90 ,$84 ,$80 ,$83 ,$97 ,$62 ,$56 ,$62 ,$66 ,$72 ,$77 ,$72 ,$88 ,$70 ,$77 ,$80 ,$82 ,$88 ,$88 ,$101 
,,,,,,,,,,,,,,,,,,,,,,
,Maintenance,$552 ,$588 ,$696 ,$737 ,$788 ,$757 ,$808 ,$710 ,$594 ,$553 ,$614 ,$721 ,$833 ,$750 ,$712 ,$913 ,"$1,103 ",$961 ,$993 ,"$1,076 ",$774 
,Labor,$125 ,$123 ,$126 ,$129 ,$134 ,$133 ,$127 ,$158 ,$96 ,$74 ,$67 ,$68 ,$68 ,$74 ,$110 ,$161 ,$60 ,$112 ,$111 ,$95 ,$109 
,Materials,$85 ,$100 ,$124 ,$148 ,$162 ,$141 ,$131 ,$82 ,$66 ,$70 ,$69 ,$74 ,$101 ,$87 ,$52 ,$45 ,$83 ,$100 ,$83 ,$92 ,$57 
,Third Party,$31 ,$29 ,$65 ,$96 ,$126 ,$125 ,$167 ,$123 ,$157 ,$200 ,$279 ,$352 ,$425 ,$381 ,$370 ,$521 ,$734 ,$504 ,$578 ,$653 ,$366 
,Total Direct,$241 ,$252 ,$315 ,$370 ,$420 ,$393 ,$417 ,$362 ,$317 ,$339 ,$413 ,$494 ,$594 ,$538 ,$532 ,$728 ,$877 ,$716 ,$770 ,$840 ,$532 
,Burden,$311 ,$335 ,$381 ,$367 ,$367 ,$364 ,$391 ,$348 ,$277 ,$214 ,$201 ,$227 ,$240 ,$212 ,$180 ,$186 ,$226 ,$245 ,$224 ,$236 ,$242 
,,,,,,,,,,,,,,,,,,,,,,
,Aircraft Ownership,$445 ,$411 ,$387 ,$396 ,$408 ,$444 ,$485 ,$512 ,$399 ,$358 ,$315 ,$366 ,$391 ,$414 ,$435 ,$379 ,$229 ,$295 ,$280 ,$293 ,$291 
,Rentals,$330 ,$288 ,$282 ,$273 ,$257 ,$252 ,$268 ,$333 ,$239 ,$199 ,$145 ,$193 ,$199 ,$219 ,$215 ,$202 ,$200 ,$269 ,$253 ,$268 ,$268 
,Depreciation and Amortization,$116 ,$123 ,$105 ,$123 ,$151 ,$192 ,$217 ,$178 ,$160 ,$159 ,$170 ,$173 ,$191 ,$195 ,$221 ,$177 ,$29 ,$26 ,$27 ,$24 ,$23 
,,,,,,,,,,,,,,,,,,,,,,
,Other,$4 ,$3 ,$9 ,$12 ,$4 ,$6 ,($2),$7 ,$2 ,$8 ,$16 ,$4 ,$3 ,$4 ,$1 ,$43 ,$203 ,$210 ,$250 ,$252 ,$256 
,,,,,,,,,,,,,,,,,,,,,,
,Indicies,,,,,,,,,,,,,,,,,,,,,
,Aircraft In Fleet,329,332,332,325,336,347,349,303,305,293,249,246,239,232,173,152,152,207,190,188,190
,Seats Per Departure,127,128,128,131,131,128,127,127,127,128,131,132,131,132,135,134,134,130,131,135,138
,Average Stage Length,692,716,721,742,760,767,793,820,883,906,953,942,926,917,925,995,"1,054","1,114","1,142","1,125","1,032"
,Gallons of Fuel Per Block Hour,921,932,923,913,900,910,886,811,718,756,765,756,747,741,760,776,780,764,767,764,758
,Load Factor,67.60%,69.60%,69.60%,70.10%,68.30%,69.60%,69.40%,71.20%,75.40%,77.70%,80.80%,81.80%,82.60%,82.20%,81.80%,83.00%,84.50%,83.10%,84.40%,85.40%,85.50%
,,,,,,,,,,,,,,,,,,,,,,
,Daily Utilization per Aircraft,,,,,,,,,,,,,,,,,,,,,
